GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
spring-boot-skeleton,com.nnk.springboot.controllers,LoginController,41,3,0,0,12,1,3,1,3,1
spring-boot-skeleton,com.nnk.springboot.controllers,HomeController,0,7,0,0,0,3,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.controllers,CurveController,0,84,0,4,0,26,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,UserController,16,91,0,4,4,27,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,BidListController,0,84,0,4,0,26,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RatingController,0,84,0,4,0,26,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,TradeController,0,84,0,4,0,26,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.controllers,RuleNameController,0,84,0,4,0,26,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,RatingServiceImpl,0,129,0,4,0,35,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,UserServiceImpl,0,174,0,8,0,43,0,11,0,7
spring-boot-skeleton,com.nnk.springboot.service,TradeServiceImpl,0,122,0,4,0,32,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,BidListServiceImpl,0,122,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,CustomUserDetailsService,0,25,0,0,0,7,0,2,0,2
spring-boot-skeleton,com.nnk.springboot.service,RuleNameServiceImpl,0,143,0,4,0,39,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.service,CurvePointServiceImpl,0,122,0,4,0,33,0,9,0,7
spring-boot-skeleton,com.nnk.springboot.config,SpringSecurityConfig,0,63,0,0,0,16,0,3,0,3
spring-boot-skeleton,com.nnk.springboot.config,PasswordConstraintValidator,0,84,0,2,0,12,0,4,0,3
spring-boot-skeleton,com.nnk.springboot.exception,AlreadyExistException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.exception,NotFoundException,0,4,0,0,0,2,0,1,0,1
spring-boot-skeleton,com.nnk.springboot.mapper,MapperDto,0,108,0,0,0,42,0,7,0,7
spring-boot-skeleton,com.nnk.springboot,Application,5,3,0,0,2,1,1,1,1,1
spring-boot-skeleton,com.nnk.springboot.domain,RuleName.RuleNameBuilder,16,56,0,0,0,1,1,9,1,9
spring-boot-skeleton,com.nnk.springboot.domain,RuleName,4,76,0,0,0,11,1,16,1,16
spring-boot-skeleton,com.nnk.springboot.domain,Trade.TradeBuilder,129,69,0,0,0,1,18,6,18,6
spring-boot-skeleton,com.nnk.springboot.domain,User,4,56,0,0,0,9,1,12,1,12
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint,18,52,0,0,2,8,5,10,5,10
spring-boot-skeleton,com.nnk.springboot.domain,CurvePoint.CurvePointBuilder,24,39,0,0,0,1,3,6,3,6
spring-boot-skeleton,com.nnk.springboot.domain,BidList.BidListBuilder,136,71,0,0,0,1,19,6,19,6
spring-boot-skeleton,com.nnk.springboot.domain,Rating.RatingBuilder,12,42,0,0,0,1,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.domain,Rating,4,56,0,0,0,9,1,12,1,12
spring-boot-skeleton,com.nnk.springboot.domain,BidList,130,100,0,0,18,8,37,10,37,10
spring-boot-skeleton,com.nnk.springboot.domain,Trade,123,97,0,0,17,8,35,10,35,10
spring-boot-skeleton,com.nnk.springboot.domain,User.UserBuilder,12,42,0,0,0,1,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.domain.Dto,UserDto,0,60,0,0,0,9,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain.Dto,TradeDto.TradeDtoBuilder,10,35,0,0,0,1,1,6,1,6
spring-boot-skeleton,com.nnk.springboot.domain.Dto,RuleNameDto.RuleNameDtoBuilder,16,56,0,0,0,1,1,9,1,9
spring-boot-skeleton,com.nnk.springboot.domain.Dto,BidListDto,4,46,0,0,0,8,1,10,1,10
spring-boot-skeleton,com.nnk.springboot.domain.Dto,CurvePointDto.CurvePointDtoBuilder,10,35,0,0,0,1,1,6,1,6
spring-boot-skeleton,com.nnk.springboot.domain.Dto,BidListDto.BidListDtoBuilder,10,35,0,0,0,1,1,6,1,6
spring-boot-skeleton,com.nnk.springboot.domain.Dto,CurvePointDto,0,50,0,0,0,8,0,11,0,11
spring-boot-skeleton,com.nnk.springboot.domain.Dto,RatingDto,0,60,0,0,0,9,0,13,0,13
spring-boot-skeleton,com.nnk.springboot.domain.Dto,TradeDto,4,46,0,0,0,8,1,10,1,10
spring-boot-skeleton,com.nnk.springboot.domain.Dto,RatingDto.RatingDtoBuilder,12,42,0,0,0,1,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.domain.Dto,UserDto.UserDtoBuilder,12,42,0,0,0,1,1,7,1,7
spring-boot-skeleton,com.nnk.springboot.domain.Dto,RuleNameDto,8,72,0,0,0,11,2,15,2,15
